============    FORTRESS SEED [123394]    =========
Fortress initialized! - <0>
>>> CONFIG FILE: beta_config.yaml <<< -- <0>
15 Unique character trees created -- <0>
[<.61b8] moved to [10, 5] -- <23>
[<.d2c0] moved to [11, 4] -- <23>
[<.5bfa] moved to [9, 4] -- <23>
[<.2de6] moved to [9, 4] -- <23>
[<.7c87] cloned to [<.a9e3] at [12, 4] -- <24>
[<.9cb6] added [<.a9e3] at [12, 4] -- <24>
[<.7c87] cloned to [<.f5f7] at [10, 4] -- <24>
[<.f9d5] added [<.f5f7] at [10, 4] -- <24>
[<.7c87] cloned to [<.8777] at [8, 4] -- <24>
[<.ba70] added [<.8777] at [8, 4] -- <24>
[<.7c87] cloned to [<.8501] at [7, 3] -- <24>
[<.b097] added [<.8501] at [7, 3] -- <24>
[<.7c87] cloned to [<.671c] at [8, 6] -- <24>
[<.e027] added [<.671c] at [8, 6] -- <24>
[<.7c87] cloned to [<.6c9c] at [11, 3] -- <24>
[<.1ea3] added [<.6c9c] at [11, 3] -- <24>
[<.7c87] cloned to [<. 8da] at [12, 3] -- <24>
[<. 39b] added [<. 8da] at [12, 3] -- <24>
[<.7c87] cloned to [<.f48d] at [11, 3] -- <24>
[<.ff4e] added [<.f48d] at [11, 3] -- <24>
[<. b5e] moved to [6, 5] -- <24>
[<.8848] moved to [9, 5] -- <24>
[<.2f7c] moved to [11, 4] -- <24>
[<.7990] moved to [9, 6] -- <24>
[<.bcf6] moved to [10, 4] -- <24>
[<.26ac] moved to [11, 5] -- <24>
[<. 339] moved to [10, 6] -- <24>
[<.a5d7] moved to [12, 3] -- <24>
[<.8e15] moved to [9, 4] -- <24>
[<.ddc0] moved to [8, 5] -- <24>
[<.fee1] moved to [8, 5] -- <24>
[<.9782] moved to [11, 5] -- <24>
[<.61b8] moved to [10, 6] -- <24>
[<.d2c0] moved to [11, 3] -- <24>
[<.5bfa] moved to [10, 4] -- <24>
[<.2de6] moved to [8, 4] -- <24>
[<.5b31] moved to [13, 4] -- <24>
[<.6983] moved to [9, 4] -- <24>
[<.c84d] moved to [9, 4] -- <24>
[<.dcb4] moved to [8, 5] -- <24>
[<.93e4] moved to [12, 3] -- <24>
